context_1	context_0	reply	label			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				что вам ясно ? ну , пока кое - на - кого не надавили , были слухи , что президент собирался рассказать всем об иностранке .	bad	0.9884452666
				элен распространяет его слова , чтобы люди держались отсюда подальше .	good	0.8130566014
				он прав , джеймс .	good	0.8578607237
				старые записи , которые вы отдали ему .	good	0.997979941
				альбер роза не из тех людей , которые прощают оскорбления .	good	0.9862630812
				э , пап , это не совсем рыбьеног .	bad	0.9635837403
				он был никем !	good	0.9980853231
				но он сделал .	bad	0.9295755578
				не могу поверить , что он предпочёл тебя мне .	good	0.5859028736
				какого . . .	bad	0.7967534283
				он живой	bad	0.9538216381
				мы хотим вернуть его .	good	0.8845043605
				вернуть кого ?	bad	0.901548514
				мы не можем пробиться через шторм элис .	good	0.930714401
				как ?	good	0.8332795806
				мы вернем энди назад .	good	0.8329308763
				вернуть ?	good	0.4949288885
				что не получится ?	neutral	0.9505120984
				получится	neutral	0.723522505
				что вы делаете ?	good	0.9407713882
				почему у меня не получается ?	good	0.9837095866
				присядьте .	bad	0.7025941913
				извините .	good	0.9067951975
				всё кончено .	neutral	0.8848704111
				нет , все только начинается .	good	0.9706237486
				нет , не кончено .	good	0.8711068694
				все кончено .	bad	0.8963071295
				нет . ещё не всё кончено .	good	0.9143887149
				теперь это другая история .	good	0.8835312442
				убита ?	bad	0.9581692752
				да , алло .	neutral	0.5132160413
				кто вызывал полицию ?	good	0.9103482667
				вас не слышно , перезвоните .	good	0.8483911045
				я вас не слышу - тут слишком шумно .	good	0.7778803478
				алло .	neutral	0.9380052379
				"мне тоже , но я больше нигде не был . так что я  за """" ."""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				? упокой эту любовь ?	good	0.9578579921
				и увидишь свет	good	0.4059461083
				путь любви путь любви	neutral	0.5755420667
				# любовь - все , что тебе нужно #	good	0.9582641371
				здесь все под моим контролем !	neutral	0.74766586
				чёрт .	neutral	0.7438322255
				я невиновен !	bad	0.9355149423
				ещё как касается !	bad	0.9831992435
				он видит меня .	good	0.9194787046
				нет ! пусть разворачивается !	bad	0.9966573042
				не бойся .	bad	0.9881736692
				я не боюсь .	good	0.9788139781
				а я и не боюсь вовсе .	good	0.952870832
				а почему я должна бояться ?	good	0.913227134
				я не боюсь , мам .	good	0.9086623554
				а я и не боюсь .	good	0.6721186635
				чарльз дилаурентис .	good	0.7212254921
				французское .	bad	0.8467060981
				дэниель .	good	0.954490865
				ее имя было написано на ожерелье .	good	0.9033254092
				без имени .	good	0.7740290721
				теперь ты хочешь знать её имя ?	good	0.9120741967
				и тебе приветик .	good	0.9844354928
				привет , рита .	neutral	0.8174103545
				привет - привет .	neutral	0.8724574892
				рада видеть тебя .	good	0.9560335816
				привет , как дела ? хорошо .	bad	0.9832640632
				привет .	neutral	0.9990410761
				просто знаю .	neutral	0.8029846348
				я наблюдала за вами долгое время .	good	0.8686719683
				они сами сказали .	good	0.8356783352
				как вы сами сказали .	good	0.9464333264
				мне рассказывал о вас франческо .	good	0.9540455243
				вы же не слепой .	good	0.8126197366
				рад это слышать . здравствуйте .	good	0.8165904945
				но у тебя инстинкты политика . и ты уже бренд .	good	0.919981026
				тогда кто имеет ?	bad	0.9010561346
				ты манипулируешь сиско и федерацией , министрами баджора .	good	0.7550038067
				но вы же здесь работаете .	bad	0.885158797
				это правильно .	good	0.5689428566
				он никогда не тронет меня .	bad	0.9957193123
				он меня не пристрелит .	bad	0.9067797827
				меня не так просто убить .	bad	0.9938218612
				и всё же я готов умереть за него .	bad	0.5117004641
				я не хочу давать ему удовлетворение .	bad	0.7707614119
				он будет гадить мне в рот до тех пор , пока я не задохнусь .	bad	0.9495637182
				хочешь ещё получить ?	bad	0.8934390904
				только если ты хочешь .	good	0.8285473802
				о , нет , спасибо	good	0.8154894376
				давай .	neutral	0.9768588213
				да , хочу !	good	0.4777735284
				конечно хочу .	good	0.9720073972
				что ты запланировал на время до вечеринки ?	good	0.8718793943
				для обычных посетителей вход закрыт .	good	0.895104345
				тебя выдали .	bad	0.8825427652
				вечеринка ?	bad	0.7140590121
				убирайся .	bad	0.8037143796
				"будет лишь одна вечеринка , которую делает  комитет из планирования вечеринок """" , и она начинается в 3 : 00 ."""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				нет жены .	bad	0.8665332303
				она только развелась .	bad	0.5987406669
				" тело жены не принадлежит ей одной , но также и её мужу . """""""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
				личная гвардия ?	good	0.8673431888
				моссад .	bad	0.9143474871
				но если хочешь , могу повторить ещё раз .	good	0.9302160123
				может , в следующий раз будет лучше .	good	0.967314388
				и я видел потрясающие вещи .	bad	0.9782632677
				видимо , это был способ не расставаться с тобой .	bad	0.5252928263
				я и сам сделал кое - что ужасное .	bad	0.8146250144
				разве что парень анжелы погиб вчера вечером , перерезал себе глотку , но это , знаешь ли , обычное дело .	good	0.7495665878
				люсьена , дорогая , я с тобой .	good	0.6123422835
				какого черта , чувак .	bad	0.539174114
				подумай над этим .	neutral	0.9955547518
				как именно жить ?	good	0.8658024865
				что происходит ?	good	0.5202809251
				лучше держись подальше от этого ужасного человека .	good	0.9682720305
				не смей . . . даже приближаться к моему дому .	bad	0.5414359147
				но когда выйдешь во двор - веди себя правильно .	good	0.9177847827
				почему я должна убираться ? )	good	0.96697535
				просто убирайся !	neutral	0.5520222827
				убираться ?	bad	0.9899961841
				а потом я поднимусь к тебе и буду стоять у тебя над душой , пока ты все не сделаешь , понял ?	good	0.8583205109
				бежать , куда ?	good	0.9012477624
				так нечестно !	good	0.8138487232
				куда ?	good	0.8958704559
				о , не пытайся убежать . стой там , где стоишь	bad	0.8106263857
				ту часть скалы , похожую на кулак ?	bad	0.98308469
				побегу - тоже .	bad	0.8482995494
				сейчас .	neutral	0.9559830516
				да , один .	neutral	0.634925133
				возьмите .	good	0.9796349251
				нет , один не подойдет .	good	0.9108794823
				тяни , тяни . ещё , ещё . хватит ?	good	0.883237298
				о , да , думаю , что можно .	good	0.9533838419
				первый !	bad	0.9693801333
				мельче не будет ?	bad	0.9140618627
				пи !	bad	0.94777985
				приготовьтесь !	bad	0.7735366607
				куда они пошли ?	bad	0.9442629607
				3 !	bad	0.8563996164
				у меня маленькие возможности .	good	0.7258117425
				красти !	bad	0.9972774046
				весь в папу !	good	0.9982849586
				он выглядел как конь или типа того .	good	0.820690271
				покойник !	bad	0.9279255433
				мужчина с пистолетом . %	good	0.7483486936
				заткнись !	bad	0.7887905826
				да . она тоже ничего .	bad	0.9946309201
				очень , очень симпатичная .	good	0.7339008387
				очень симпатичная .	good	0.5906561996
				не такая симпатичная , как ты .	good	0.9791676379
				да , конечно симпатичная .	neutral	0.6366089923
				не особенно .	bad	0.9823616355
				всем угомониться .	bad	0.9946989637
				хороший , да ?	bad	0.9773399594
				ура .	neutral	0.9515310417
				видишь ?	neutral	0.5693222102
				ты был прав .	good	0.917053632
				спасибо .	neutral	0.9536572437
				нет , вообще - то отличная идея .	good	0.9899766643
				ужасная , ужасная , ужасная , плохая идея .	bad	0.8424393687
				плохая идея .	neutral	0.850919417
				я сделаю что угодно , хорошо ?	good	0.9533838419
				хорошая ?	neutral	0.9477359953
				мне нужно идти .	neutral	0.8799935999
				где же октавия ?	bad	0.8418828746
				отличная работа , мистер скотт .	good	0.9656395405
				они здесь .	bad	0.9810493846
				входите .	good	0.9643328432
				профессор кокс ?	good	0.8218402587
				держи здесь .	bad	0.9980783562
				я хорошо .	good	0.9184110602
				не очень , пришлось постоять в очереди в туалет .	good	0.916117481
				получше .	neutral	0.8553216891
				я нормально , хэнк .	good	0.901429899
				лучше некуда , барри .	good	0.9436740726
				отлично , уж лучше твоего .	good	0.8594459405
				мы ищем его слабые места .	bad	0.9966577362
				не будем .	good	0.4042351553
				пусть андре говорит , что хочет .	good	0.7568469519
				конечно , мы не будем .	good	0.8627075796
				но вы должны есть .	good	0.9584668343
				будем .	bad	0.9007266181
				да , согласен . идите .	good	0.9936738013
				вы должны .	bad	0.9598047407
				я не говорил , что вы должны .	good	0.8097070257
				тогда идите .	good	0.9912318386
				я не сомневаюсь , что вы сможете .	good	0.4641106029
				я вам должен .	bad	0.9987715735
				только здесь путь обрывается .	bad	0.809210248
				и у джорджа было море времени .	bad	0.4596456647
				и не забудем тех , кого у нас отняли .	good	0.9954339937
				мы оторвались от земли .	bad	0.5276235847
				и в пути мы потеряли надежду .	good	0.9774741527
				как только корабль станет невидимым снова , мы будем в полной безопасности .	good	0.9570871788
				почему ?	good	0.9502335957
				что не надо ?	bad	0.8207540321
				только . . . не сейчас .	good	0.6950733762
				еще как надо .	neutral	0.8367632361
				как не нужно ?	bad	0.8227152488
				надо .	good	0.9305816789
				и я не мог его достать .	good	0.9055290856
				спасибо , что пришёл .	good	0.5106889631
				какой идиот .	bad	0.9465252037
				хороший , да ?	bad	0.9730070645
				раз уж ты не можешь помочь себе , ха ?	good	0.5520940257
				зачем нам надо жениться ?	bad	0.5041640656
				но не делай этого , пока я не дам тебе знать .	good	0.9719581459
				я надеюсь , вы дадите мне знать .	good	0.9490715289
				дайте мне бинокль , пожалуйста .	good	0.5343572996
				ну , тогда сделай это , джеймс бонд .	good	0.7756124064
				мы посмотрим .	good	0.6732300608
				мы ценим твою помощь , детектив .	good	0.9813188624
				у меня аж мурашки . . .	good	0.9699931134
				говорю вам , ужасно это еще мягко сказано .	good	0.9656573515
				" неприятно """" не то слово ."""	good	
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
